AdminName,GeoRegion,GeoSubreg,IncomeGrp,LendCat,VarDesc,UrbanPop,RuralPop,TotalPop,UrbanLA,RuralLA,TotalLA
Syrian Arab Republic,Asia,Western Asia,Low income,IDA,Elevation under 5 meters,30620.1456643,10848.4995707,41468.645235,15.4272413054,22.3577086881,37.7849499935
Togo,Africa,Western Africa,Low income,IDA,Elevation under 5 meters,55219.0746958,155352.603063,210571.677759,27.8183255075,205.311435665,233.129761172
Mozambique,Africa,Eastern Africa,Low income,IDA,Elevation between 50 and 100 meters,279377.806046,2166788.53275,2446166.33879,386.302172661,93757.4563159,94143.7584885
Burkina Faso,Africa,Western Africa,Low income,IDA,Elevation between 400 and 800 meters,637.095442474,8170.92197731,8808.01741978,134.234602988,9032.67821158,9166.91281457
South Sudan,Africa,Eastern Africa,Low income,IDA,Elevation between 800 and 1500 meters,277.162452698,77589.8556078,77867.0180604,65.2426789403,33046.1733749,33111.4160538
Democratic People's Republic of Korea,Asia,Eastern Asia,Low income,Not classified,Elevation between 200 and 400 meters,1527.29866917,85369.3276045,86896.6262736,251.186704427,19286.8300121,19538.0167166
Yemen,Asia,Western Asia,Low income,IDA,Elevation between 25 and 50 meters,486.721406657,9206.79273293,9693.51413958,58.4977661273,6247.20430546,6305.70207159
Democratic People's Republic of Korea,Asia,Eastern Asia,Low income,Not classified,Elevation between 1500 and 3000 meters,9.71374875307,12013.7526116,12023.4663604,3.89686149359,8157.56862938,8161.46549088
Yemen,Asia,Western Asia,Low income,IDA,Elevation between 50 and 100 meters,1783.12092932,20436.5391993,22219.6601286,71.6299397591,9993.41367299,10065.0436128
United Republic of Tanzania,Africa,Eastern Africa,Low income,IDA,Elevation between 800 and 1500 meters,134362.524359,1749273.17895,1883635.70331,2638.71054243,517893.431142,520532.141684
Syrian Arab Republic,Asia,Western Asia,Low income,IDA,Elevation between 800 and 1500 meters,66525.4572656,159636.286081,226161.743346,489.449036896,17554.5769803,18044.0260172
Tajikistan,Asia,Central Asia,Low income,IDA,Elevation between 800 and 1500 meters,54060.7117165,188324.32406,242385.035777,985.045859396,15082.1231673,16067.1690267
Democratic People's Republic of Korea,Asia,Eastern Asia,Low income,Not classified,Elevation between 50 and 100 meters,20840.0928592,227237.602754,248077.695614,429.853476259,8470.7173661,8900.57084236
